V0	Vf	V_sent	D	dt
-1.990296	-0.434507	-0.400000	303.992198	0.202335	370.000000
-1.761625	-0.402105	-0.400000	241.546855	0.195998	371.000000
-1.570663	-0.426478	-0.400000	218.660828	0.176332	372.000000
-1.390629	-0.412984	-0.400000	190.808772	0.171332	373.000000
-1.155203	-0.410831	-0.400000	152.898781	0.158676	374.000000
-0.992048	-0.427789	-0.400000	117.654572	0.142336	375.000000
-0.788181	-0.410193	-0.400000	93.342395	0.134667	376.000000
-0.591070	-0.419984	-0.400000	63.243707	0.117345	377.000000
-0.163216	-0.379057	-0.400000	31.101813	0.128001	378.000000
-0.001153	-0.382001	-0.400000	18.540397	0.148338	379.000000
-3.980451	-0.206594	-0.200000	753.851563	0.325567	380.000000
-3.778215	-0.216033	-0.200000	691.657979	0.312663	381.000000
-3.566091	-0.215989	-0.200000	639.430298	0.307665	382.000000
-3.383238	-0.227111	-0.200000	563.886373	0.290338	383.000000
-3.162380	-0.216004	-0.200000	569.375448	0.275999	384.000000
-2.970650	-0.219776	-0.200000	494.448242	0.264719	385.000000
-2.792366	-0.205048	-0.200000	481.302999	0.269996	386.000000
-2.552192	-0.219073	-0.200000	407.776764	0.248663	387.000000
-2.383996	-0.204668	-0.200000	380.925405	0.248955	388.000000
-2.167837	-0.221309	-0.200000	340.906474	0.230663	389.000000
-1.990647	-0.216608	-0.200000	296.579010	0.216043	390.000000
-1.792503	-0.228224	-0.200000	253.450150	0.204336	391.000000
-1.570198	-0.206868	-0.200000	216.612656	0.200531	392.000000
-1.378186	-0.216966	-0.200000	184.297216	0.179667	393.000000
-1.188990	-0.219096	-0.200000	142.077593	0.164000	394.000000
-0.990874	-0.211576	-0.200000	116.857091	0.161524	395.000000
-0.791494	-0.224719	-0.200000	90.040466	0.139334	396.000000
-0.530474	-0.208171	-0.200000	68.674510	0.132667	397.000000
-0.364796	-0.228364	-0.200000	41.883097	0.118998	398.000000
0.000932	-0.167627	-0.200000	5.983735	0.114995	399.000000
-3.968156	-0.013333	0.000000	765.755819	0.339669	400.000000
-3.764037	-0.007640	0.000000	704.331380	0.332773	401.000000
-3.590747	-0.009426	0.000000	667.974772	0.325994	402.000000
